District_Code,Total_Members,Total_BM_Weight,Is_Weight_Code_0,Is_Weight_Code_1,Is_Weight_Code_2
11,4,250,1,0,0
5,4,0,1,0,0
5,5,0,1,0,0
10,4,0,1,0,0
5,3,500,0,1,0
5,2,500,0,1,0
5,6,0,1,0,0
7,3,400,1,0,0
5,2,250,1,0,0
6,2,0,1,0,0
7,2,250,1,0,0
5,2,250,1,0,0
5,5,1000,0,0,1
7,4,750,0,1,0
5,4,0,1,0,0
10,4,0,1,0,0
10,6,750,0,1,0
10,5,500,0,1,0
11,4,0,1,0,0
16,5,500,0,1,0
2,6,250,1,0,0
11,4,500,0,1,0
14,2,0,1,0,0
10,7,0,1,0,0
12,4,0,1,0,0
7,4,1000,0,0,1
17,5,500,0,1,0
5,4,500,0,1,0
6,4,0,1,0,0
14,5,0,1,0,0
11,4,2000,0,0,1
11,4,250,1,0,0
7,3,0,1,0,0
6,4,500,0,1,0
23,4,2000,0,0,1
12,4,0,1,0,0
5,5,0,1,0,0
10,4,250,1,0,0
8,3,0,1,0,0
24,4,500,0,1,0
15,5,750,0,1,0
25,6,0,1,0,0
22,4,250,1,0,0
20,5,0,1,0,0
1,6,1000,0,0,1
18,4,750,0,1,0
13,5,500,0,1,0
14,6,500,0,1,0
5,4,500,0,1,0
6,5,0,1,0,0
17,6,750,0,1,0
3,4,0,1,0,0
21,5,750,0,1,0
11,6,0,1,0,0
12,4,500,0,1,0
23,5,0,1,0,0
24,6,750,0,1,0
2,4,500,0,1,0
8,3,0,1,0,0
20,5,500,0,1,0
4,4,0,1,0,0
13,6,0,1,0,0
22,5,500,0,1,0
15,4,500,0,1,0
18,3,0,1,0,0
1,5,500,0,1,0
3,6,500,0,1,0
14,4,500,0,1,0
23,3,0,1,0,0
17,5,0,1,0,0
24,4,500,0,1,0
5,3,0,1,0,0
6,6,750,0,1,0
11,4,500,0,1,0
9,3,0,1,0,0
10,5,500,0,1,0
7,4,0,1,0,0
2,3,0,1,0,0
12,5,0,1,0,0
3,4,400,1,0,0
20,3,0,1,0,0
23,4,750,0,1,0
6,5,600,0,1,0
9,6,0,1,0,0
5,3,0,1,0,0
11,4,0,1,0,0
17,3,600,0,1,0
21,4,750,0,1,0
2,5,0,1,0,0
8,4,600,0,1,0
13,3,0,1,0,0
15,4,750,0,1,0
22,5,600,0,1,0
24,6,600,0,1,0
25,3,750,0,1,0
19,4,0,1,0,0
4,5,600,0,1,0
1,3,0,1,0,0
21,4,750,0,1,0
18,6,750,0,1,0
3,3,0,1,0,0
20,4,750,0,1,0
23,5,600,0,1,0
12,3,0,1,0,0
7,4,600,0,1,0
10,5,600,0,1,0
15,4,0,1,0,0
25,3,0,1,0,0
1,6,0,1,0,0
24,4,600,0,1,0
4,3,750,0,1,0
19,5,750,0,1,0
22,3,0,1,0,0
2,4,750,0,1,0
11,5,750,0,1,0
6,3,0,1,0,0
17,4,600,0,1,0
8,3,750,0,1,0
21,4,750,0,1,0
18,6,750,0,1,0
3,3,0,1,0,0
20,4,750,0,1,0
14,5,800,0,1,0
5,3,750,0,1,0
9,4,0,1,0,0
23,3,600,0,1,0
24,5,0,1,0,0
4,4,0,1,0,0
15,3,800,0,1,0
25,5,0,1,0,0
1,4,0,1,0,0
18,3,800,0,1,0
21,5,750,0,1,0
2,4,750,0,1,0
3,5,0,1,0,0
11,3,800,0,1,0
20,4,600,0,1,0
6,5,800,0,1,0
17,3,600,0,1,0
8,4,0,1,0,0
10,5,0,1,0,0
23,3,800,0,1,0
24,4,750,0,1,0
19,3,0,1,0,0
21,4,0,1,0,0
22,5,800,0,1,0
13,3,0,1,0,0
1,4,0,1,0,0
18,5,0,1,0,0
15,3,800,0,1,0
25,4,0,1,0,0
21,5,800,0,1,0
22,4,0,1,0,0
13,3,800,0,1,0
1,5,0,1,0,0
18,3,0,1,0,0
15,4,0,1,0,0
25,3,600,0,1,0
21,5,0,1,0,0
22,3,0,1,0,0
13,4,0,1,0,0
1,5,0,1,0,0
18,3,0,1,0,0
15,4,800,0,1,0
25,3,750,0,1,0
21,5,0,1,0,0
15,4,800,0,1,0
25,3,0,1,0,0
21,5,800,0,1,0
22,3,0,1,0,0
13,4,1000,0,0,1
1,5,1000,0,0,1
18,3,0,1,0,0
15,4,0,1,0,0
22,3,0,1,0,0
2,5,0,1,0,0
8,4,800,0,1,0
3,3,0,1,0,0
6,5,800,0,1,0
20,3,0,1,0,0
12,4,1000,0,0,1
17,3,0,1,0,0
24,5,1000,0,0,1
23,4,800,0,1,0
11,3,0,1,0,0
16,5,0,1,0,0
5,4,800,0,1,0
9,3,0,1,0,0
1,5,0,1,0,0
14,4,1000,0,0,1
21,3,0,1,0,0
15,5,1000,0,0,1
22,4,800,0,1,0
2,3,0,1,0,0
4,4,800,0,1,0
20,5,800,0,1,0
24,3,0,1,0,0
6,4,800,0,1,0
17,3,0,1,0,0
12,5,0,1,0,0
23,4,800,0,1,0
8,3,0,1,0,0
