District_Code,Total_Members,Total_BOM_Weight,Weight_Code
11,4,0,0
5,4,250,0
5,5,0,0
10,4,250,0
5,3,0,0
5,2,0,0
5,6,500,1
7,3,0,0
5,2,250,0
6,2,0,0
7,2,0,0
5,2,0,0
5,5,0,0
7,4,0,0
5,4,0,0
10,4,0,0
10,6,0,0
10,5,250,0
11,4,0,0
16,5,1000,2
2,6,1000,2
11,4,0,0
14,2,0,0
10,7,0,0
12,4,1000,2
7,4,0,0
17,5,0,0
5,4,0,0
6,4,0,0
14,5,0,0
11,4,0,0
11,4,0,0
7,3,0,0
6,4,0,0
23,4,0,0
12,4,0,0
5,5,2000,2
10,4,250,0
8,3,500,1
24,4,0,0
15,5,500,1
25,6,0,0
22,4,750,1
20,5,750,1
1,6,500,1
18,4,0,0
13,5,750,1
14,6,0,0
5,4,750,1
6,5,0,0
17,6,500,1
3,4,0,0
21,5,500,1
11,6,0,0
12,4,750,1
23,5,0,0
24,6,500,1
2,4,750,1
8,3,500,1
20,5,0,0
4,4,500,1
13,6,500,1
22,5,0,0
15,4,750,1
18,3,500,1
1,5,0,0
3,6,750,1
14,4,500,1
23,3,0,0
17,5,500,1
24,4,0,0
5,3,500,1
6,6,0,0
11,4,500,1
9,3,0,0
10,5,750,1
7,4,500,1
2,3,0,0
12,5,600,1
3,4,0,0
20,3,400,0
23,4,800,1
6,5,0,0
9,6,800,1
5,3,500,1
11,4,0,0
17,3,750,1
21,4,0,0
2,5,0,0
8,4,750,1
13,3,600,1
15,4,0,0
22,5,0,0
24,6,800,1
25,3,0,0
19,4,0,0
4,5,0,0
1,3,0,0
21,4,0,0
18,6,800,1
3,3,600,1
20,4,0,0
23,5,0,0
12,3,0,0
7,4,750,1
10,5,800,1
15,4,0,0
25,3,600,1
1,6,800,1
24,4,0,0
4,3,0,0
19,5,800,1
22,3,600,1
2,4,0,0
11,5,800,1
6,3,0,0
17,4,600,1
8,3,0,0
21,4,0,0
18,6,800,1
3,3,600,1
20,4,0,0
14,5,0,0
5,3,600,1
9,4,0,0
23,3,800,1
24,5,0,0
4,4,600,1
15,3,0,0
25,5,800,1
1,4,750,1
18,3,0,0
21,5,800,1
2,4,0,0
3,5,800,1
11,3,0,0
20,4,800,1
6,5,0,0
17,3,750,1
8,4,0,0
10,5,800,1
23,3,0,0
24,4,800,1
19,3,0,0
21,4,750,1
22,5,1000,2
13,3,0,0
1,4,800,1
18,5,1000,2
15,3,0,0
25,4,0,0
21,5,1000,2
22,4,800,1
13,3,0,0
1,5,0,0
18,3,800,1
15,4,0,0
25,3,750,1
21,5,1000,2
22,3,0,0
13,4,800,1
1,5,1000,2
18,3,800,1
15,4,1000,2
25,3,0,0
21,5,1000,2
15,4,0,0
25,3,1000,2
21,5,0,0
22,3,800,1
13,4,800,1
1,5,800,1
18,3,0,0
15,4,0,0
22,3,0,0
2,5,1000,2
8,4,0,0
3,3,1000,2
6,5,0,0
20,3,800,1
12,4,800,1
17,3,0,0
24,5,800,1
23,4,0,0
11,3,800,1
16,5,0,0
5,4,1000,2
9,3,0,0
1,5,800,1
14,4,800,1
21,3,0,0
15,5,800,1
22,4,0,0
2,3,800,1
4,4,0,0
20,5,800,1
24,3,800,1
6,4,0,0
17,3,800,1
12,5,800,1
23,4,800,1
8,3,0,0
