District_Code,Total_Members,Total_BOM_Weight,Is_Weight_Code_0,Is_Weight_Code_1,Is_Weight_Code_2
11,4,0,1,0,0
5,4,250,1,0,0
5,5,0,1,0,0
10,4,250,1,0,0
5,3,0,1,0,0
5,2,0,1,0,0
5,6,500,0,1,0
7,3,0,1,0,0
5,2,250,1,0,0
6,2,0,1,0,0
7,2,0,1,0,0
5,2,0,1,0,0
5,5,0,1,0,0
7,4,0,1,0,0
5,4,0,1,0,0
10,4,0,1,0,0
10,6,0,1,0,0
10,5,250,1,0,0
11,4,0,1,0,0
16,5,1000,0,0,1
2,6,1000,0,0,1
11,4,0,1,0,0
14,2,0,1,0,0
10,7,0,1,0,0
12,4,1000,0,0,1
7,4,0,1,0,0
17,5,0,1,0,0
5,4,0,1,0,0
6,4,0,1,0,0
14,5,0,1,0,0
11,4,0,1,0,0
11,4,0,1,0,0
7,3,0,1,0,0
6,4,0,1,0,0
23,4,0,1,0,0
12,4,0,1,0,0
5,5,2000,0,0,1
10,4,250,1,0,0
8,3,500,0,1,0
24,4,0,1,0,0
15,5,500,0,1,0
25,6,0,1,0,0
22,4,750,0,1,0
20,5,750,0,1,0
1,6,500,0,1,0
18,4,0,1,0,0
13,5,750,0,1,0
14,6,0,1,0,0
5,4,750,0,1,0
6,5,0,1,0,0
17,6,500,0,1,0
3,4,0,1,0,0
21,5,500,0,1,0
11,6,0,1,0,0
12,4,750,0,1,0
23,5,0,1,0,0
24,6,500,0,1,0
2,4,750,0,1,0
8,3,500,0,1,0
20,5,0,1,0,0
4,4,500,0,1,0
13,6,500,0,1,0
22,5,0,1,0,0
15,4,750,0,1,0
18,3,500,0,1,0
1,5,0,1,0,0
3,6,750,0,1,0
14,4,500,0,1,0
23,3,0,1,0,0
17,5,500,0,1,0
24,4,0,1,0,0
5,3,500,0,1,0
6,6,0,1,0,0
11,4,500,0,1,0
9,3,0,1,0,0
10,5,750,0,1,0
7,4,500,0,1,0
2,3,0,1,0,0
12,5,600,0,1,0
3,4,0,1,0,0
20,3,400,1,0,0
23,4,800,0,1,0
6,5,0,1,0,0
9,6,800,0,1,0
5,3,500,0,1,0
11,4,0,1,0,0
17,3,750,0,1,0
21,4,0,1,0,0
2,5,0,1,0,0
8,4,750,0,1,0
13,3,600,0,1,0
15,4,0,1,0,0
22,5,0,1,0,0
24,6,800,0,1,0
25,3,0,1,0,0
19,4,0,1,0,0
4,5,0,1,0,0
1,3,0,1,0,0
21,4,0,1,0,0
18,6,800,0,1,0
3,3,600,0,1,0
20,4,0,1,0,0
23,5,0,1,0,0
12,3,0,1,0,0
7,4,750,0,1,0
10,5,800,0,1,0
15,4,0,1,0,0
25,3,600,0,1,0
1,6,800,0,1,0
24,4,0,1,0,0
4,3,0,1,0,0
19,5,800,0,1,0
22,3,600,0,1,0
2,4,0,1,0,0
11,5,800,0,1,0
6,3,0,1,0,0
17,4,600,0,1,0
8,3,0,1,0,0
21,4,0,1,0,0
18,6,800,0,1,0
3,3,600,0,1,0
20,4,0,1,0,0
14,5,0,1,0,0
5,3,600,0,1,0
9,4,0,1,0,0
23,3,800,0,1,0
24,5,0,1,0,0
4,4,600,0,1,0
15,3,0,1,0,0
25,5,800,0,1,0
1,4,750,0,1,0
18,3,0,1,0,0
21,5,800,0,1,0
2,4,0,1,0,0
3,5,800,0,1,0
11,3,0,1,0,0
20,4,800,0,1,0
6,5,0,1,0,0
17,3,750,0,1,0
8,4,0,1,0,0
10,5,800,0,1,0
23,3,0,1,0,0
24,4,800,0,1,0
19,3,0,1,0,0
21,4,750,0,1,0
22,5,1000,0,0,1
13,3,0,1,0,0
1,4,800,0,1,0
18,5,1000,0,0,1
15,3,0,1,0,0
25,4,0,1,0,0
21,5,1000,0,0,1
22,4,800,0,1,0
13,3,0,1,0,0
1,5,0,1,0,0
18,3,800,0,1,0
15,4,0,1,0,0
25,3,750,0,1,0
21,5,1000,0,0,1
22,3,0,1,0,0
13,4,800,0,1,0
1,5,1000,0,0,1
18,3,800,0,1,0
15,4,1000,0,0,1
25,3,0,1,0,0
21,5,1000,0,0,1
15,4,0,1,0,0
25,3,1000,0,0,1
21,5,0,1,0,0
22,3,800,0,1,0
13,4,800,0,1,0
1,5,800,0,1,0
18,3,0,1,0,0
15,4,0,1,0,0
22,3,0,1,0,0
2,5,1000,0,0,1
8,4,0,1,0,0
3,3,1000,0,0,1
6,5,0,1,0,0
20,3,800,0,1,0
12,4,800,0,1,0
17,3,0,1,0,0
24,5,800,0,1,0
23,4,0,1,0,0
11,3,800,0,1,0
16,5,0,1,0,0
5,4,1000,0,0,1
9,3,0,1,0,0
1,5,800,0,1,0
14,4,800,0,1,0
21,3,0,1,0,0
15,5,800,0,1,0
22,4,0,1,0,0
2,3,800,0,1,0
4,4,0,1,0,0
20,5,800,0,1,0
24,3,800,0,1,0
6,4,0,1,0,0
17,3,800,0,1,0
12,5,800,0,1,0
23,4,800,0,1,0
8,3,0,1,0,0
