District,District_Code,Total_Members,Total_POM_Weight
Kandy,11,4,0
Colombo,5,4,0
Colombo,5,5,250
Kalutara,10,4,500
Colombo,5,3,0
Colombo,5,2,0
Colombo,5,6,750
Gampaha,7,3,0
Colombo,5,2,0
Galle,6,2,0
Gampaha,7,2,250
Colombo,5,2,0
Colombo,5,5,0
Gampaha,7,4,0
Colombo,5,4,0
Kalutara,10,4,0
Kalutara,10,6,0
Kalutara,10,5,0
Kandy,11,4,0
Matale,16,5,500
Anuradhapura,2,6,1500
Kandy,11,4,0
Kurunegala,14,2,0
Kalutara,10,7,0
Kegalle,12,4,0
Gampaha,7,4,250
Matara,17,5,0
Colombo,5,4,250
Galle,6,4,0
Kurunegala,14,5,0
Kandy,11,4,0
Kandy,11,4,0
Gampaha,7,3,0
Galle,6,4,0
Ratnapura,23,4,0
Kegalle,12,4,200
Colombo,5,5,500
Kalutara,10,4,250
Hambantota,8,3,750
Trincomalee,24,4,0
Mannar,15,5,0
Vavuniya,25,6,500
Puttalam,22,4,1000
Nuwara Eliya,20,5,500
Ampara,1,6,0
Monaragala,18,4,0
Kilinochchi,13,5,0
Kurunegala,14,6,750
Colombo,5,4,1000
Galle,6,5,500
Matara,17,6,0
Badulla,3,4,500
Polonnaruwa,21,5,0
Kandy,11,6,500
Kegalle,12,4,1000
Ratnapura,23,5,500
Trincomalee,24,6,0
Anuradhapura,2,4,1000
Hambantota,8,3,500
Nuwara Eliya,20,5,750
Batticaloa,4,4,0
Kilinochchi,13,6,500
Puttalam,22,5,750
Mannar,15,4,0
Monaragala,18,3,0
Ampara,1,5,0
Badulla,3,6,1000
Kurunegala,14,4,0
Ratnapura,23,3,500
Matara,17,5,750
Trincomalee,24,4,0
Colombo,5,3,500
Galle,6,6,1000
Kandy,11,4,0
Jaffna,9,3,500
Kalutara,10,5,1000
Gampaha,7,4,500
Anuradhapura,2,3,500
Kegalle,12,5,800
Badulla,3,4,0
Nuwara Eliya,20,3,500
Ratnapura,23,4,1000
Galle,6,5,750
Jaffna,9,6,1000
Colombo,5,3,600
Kandy,11,4,600
Matara,17,3,800
Polonnaruwa,21,4,0
Anuradhapura,2,5,800
Hambantota,8,4,1000
Kilinochchi,13,3,800
Mannar,15,4,0
Puttalam,22,5,0
Trincomalee,24,6,1000
Vavuniya,25,3,0
Mullaitivu,19,4,1000
Batticaloa,4,5,800
Ampara,1,3,800
Polonnaruwa,21,4,0
Monaragala,18,6,1000
Badulla,3,3,800
Nuwara Eliya,20,4,0
Ratnapura,23,5,800
Kegalle,12,3,800
Gampaha,7,4,1000
Kalutara,10,5,0
Mannar,15,4,600
Vavuniya,25,3,0
Ampara,1,6,1000
Trincomalee,24,4,800
Batticaloa,4,3,0
Mullaitivu,19,5,1000
Puttalam,22,3,800
Anuradhapura,2,4,600
Kandy,11,5,1000
Galle,6,3,800
Matara,17,4,1000
Hambantota,8,3,0
Polonnaruwa,21,4,0
Monaragala,18,6,1000
Badulla,3,3,800
Nuwara Eliya,20,4,0
Kurunegala,14,5,1000
Colombo,5,3,0
Jaffna,9,4,600
Ratnapura,23,3,1000
Trincomalee,24,5,800
Batticaloa,4,4,600
Mannar,15,3,1000
Vavuniya,25,5,0
Ampara,1,4,1000
Monaragala,18,3,0
Polonnaruwa,21,5,1000
Anuradhapura,2,4,1000
Badulla,3,5,1000
Kandy,11,3,1000
Nuwara Eliya,20,4,0
Galle,6,5,0
Matara,17,3,1000
Hambantota,8,4,1000
Kalutara,10,5,1000
Ratnapura,23,3,0
Trincomalee,24,4,1000
Mullaitivu,19,3,0
Polonnaruwa,21,4,0
Puttalam,22,5,1000
Kilinochchi,13,3,1000
Ampara,1,4,1000
Monaragala,18,5,1000
Mannar,15,3,0
Vavuniya,25,4,0
Polonnaruwa,21,5,1000
Puttalam,22,4,0
Kilinochchi,13,3,1000
Ampara,1,5,1000
Monaragala,18,3,1000
Mannar,15,4,0
Vavuniya,25,3,1000
Polonnaruwa,21,5,0
Puttalam,22,3,1000
Kilinochchi,13,4,1000
Ampara,1,5,0
Monaragala,18,3,0
Mannar,15,4,1000
Vavuniya,25,3,1000
Polonnaruwa,21,5,1000
Mannar,15,4,1000
Vavuniya,25,3,0
Polonnaruwa,21,5,0
Puttalam,22,3,0
Kilinochchi,13,4,1000
Ampara,1,5,0
Monaragala,18,3,1000
Mannar,15,4,800
Puttalam,22,3,0
Anuradhapura,2,5,1000
Hambantota,8,4,1000
Badulla,3,3,0
Galle,6,5,0
Nuwara Eliya,20,3,1000
Kegalle,12,4,0
Matara,17,3,1000
Trincomalee,24,5,0
Ratnapura,23,4,0
Kandy,11,3,1000
Matale,16,5,1000
Colombo,5,4,1000
Jaffna,9,3,1000
Ampara,1,5,0
Kurunegala,14,4,0
Polonnaruwa,21,3,1000
Mannar,15,5,0
Puttalam,22,4,0
Anuradhapura,2,3,0
Batticaloa,4,4,1000
Nuwara Eliya,20,5,1000
Trincomalee,24,3,1000
Galle,6,4,1000
Matara,17,3,1000
Kegalle,12,5,0
Ratnapura,23,4,0
Hambantota,8,3,1000
