District_Code,Total_Members,Total_POM_Weight,Weight_Code
11,4,0,0
5,4,0,0
5,5,250,0
10,4,500,1
5,3,0,0
5,2,0,0
5,6,750,1
7,3,0,0
5,2,0,0
6,2,0,0
7,2,250,0
5,2,0,0
5,5,0,0
7,4,0,0
5,4,0,0
10,4,0,0
10,6,0,0
10,5,0,0
11,4,0,0
16,5,500,1
2,6,1500,2
11,4,0,0
14,2,0,0
10,7,0,0
12,4,0,0
7,4,250,0
17,5,0,0
5,4,250,0
6,4,0,0
14,5,0,0
11,4,0,0
11,4,0,0
7,3,0,0
6,4,0,0
23,4,0,0
12,4,200,0
5,5,500,1
10,4,250,0
8,3,750,1
24,4,0,0
15,5,0,0
25,6,500,1
22,4,1000,2
20,5,500,1
1,6,0,0
18,4,0,0
13,5,0,0
14,6,750,1
5,4,1000,2
6,5,500,1
17,6,0,0
3,4,500,1
21,5,0,0
11,6,500,1
12,4,1000,2
23,5,500,1
24,6,0,0
2,4,1000,2
8,3,500,1
20,5,750,1
4,4,0,0
13,6,500,1
22,5,750,1
15,4,0,0
18,3,0,0
1,5,0,0
3,6,1000,2
14,4,0,0
23,3,500,1
17,5,750,1
24,4,0,0
5,3,500,1
6,6,1000,2
11,4,0,0
9,3,500,1
10,5,1000,2
7,4,500,1
2,3,500,1
12,5,800,1
3,4,0,0
20,3,500,1
23,4,1000,2
6,5,750,1
9,6,1000,2
5,3,600,1
11,4,600,1
17,3,800,1
21,4,0,0
2,5,800,1
8,4,1000,2
13,3,800,1
15,4,0,0
22,5,0,0
24,6,1000,2
25,3,0,0
19,4,1000,2
4,5,800,1
1,3,800,1
21,4,0,0
18,6,1000,2
3,3,800,1
20,4,0,0
23,5,800,1
12,3,800,1
7,4,1000,2
10,5,0,0
15,4,600,1
25,3,0,0
1,6,1000,2
24,4,800,1
4,3,0,0
19,5,1000,2
22,3,800,1
2,4,600,1
11,5,1000,2
6,3,800,1
17,4,1000,2
8,3,0,0
21,4,0,0
18,6,1000,2
3,3,800,1
20,4,0,0
14,5,1000,2
5,3,0,0
9,4,600,1
23,3,1000,2
24,5,800,1
4,4,600,1
15,3,1000,2
25,5,0,0
1,4,1000,2
18,3,0,0
21,5,1000,2
2,4,1000,2
3,5,1000,2
11,3,1000,2
20,4,0,0
6,5,0,0
17,3,1000,2
8,4,1000,2
10,5,1000,2
23,3,0,0
24,4,1000,2
19,3,0,0
21,4,0,0
22,5,1000,2
13,3,1000,2
1,4,1000,2
18,5,1000,2
15,3,0,0
25,4,0,0
21,5,1000,2
22,4,0,0
13,3,1000,2
1,5,1000,2
18,3,1000,2
15,4,0,0
25,3,1000,2
21,5,0,0
22,3,1000,2
13,4,1000,2
1,5,0,0
18,3,0,0
15,4,1000,2
25,3,1000,2
21,5,1000,2
15,4,1000,2
25,3,0,0
21,5,0,0
22,3,0,0
13,4,1000,2
1,5,0,0
18,3,1000,2
15,4,800,1
22,3,0,0
2,5,1000,2
8,4,1000,2
3,3,0,0
6,5,0,0
20,3,1000,2
12,4,0,0
17,3,1000,2
24,5,0,0
23,4,0,0
11,3,1000,2
16,5,1000,2
5,4,1000,2
9,3,1000,2
1,5,0,0
14,4,0,0
21,3,1000,2
15,5,0,0
22,4,0,0
2,3,0,0
4,4,1000,2
20,5,1000,2
24,3,1000,2
6,4,1000,2
17,3,1000,2
12,5,0,0
23,4,0,0
8,3,1000,2
