class_index,review_title,review_text
2,Ok sound...terrible cable,"Not to get too long winded, I bought as an inexpensive set of headphones for my ipod. Pretty decent reviews. Received the headphones and was satisfied with the sound. HOWEVER, every time I touched the jack I got a terribly static like sound. Definitely wasn't going to work. I don't recommend due to the jack issue. Maybe a fluke but nonetheless..."
4,excellent for the money,"I have little ear canals and these were comfortable for hours at a time. The sound was great and I loved the offset so they could hang around my neck when I took them out. Cord was a bit flimsy and broke after some admittedly heavy trauma, but I think it would have broken under much less stress."
3,Good sound but flimsy,These have great sound but not better than the skull candy in my opinion. The thing that concerns me is the durability. The wires are very thin and delicate. I don't think this is for someone who likes to roll up the buds and put them in your pocket. The other thing I don't like is the shortness of the cord and the fact the cables to the earbuds are not the same length. Why to they do this. all the weight of the cable hands off one earpiece which eventually works it out of your ear if you are active. I would only buy these if I got a great price because I don't think they will last too delicately built.
3,too sensitive to external disturbances,"the sound is fine, though a bit higher than the original Sansa headphones I have for my player. They fit nicely and comfortably inside the ear canal. The only, but potentially serious, problem with this product is that its cord is sensitive to every little tap, even of the hoop earrings dangling against the cord. It makes you feel like you are a diver under water surface and feel noises coming from outside world. So if you sit and listen to your music - everything is fine, but if you walk or jog - it could be very unpleasant."
1,Did not expect such cheap from sennheiser,"I am really disappointed with the piece i got on 24th. It has a noise when no song is playing, and the chord is not good if i movie the input pin a little there are cracks and jerks which are irritating. This happens with iphones. there is always a noise in background which i can hear clearly when song is not playing. Only pro is bass is good, so good for pop hip hop guys. I did not got a chance to test it like.. using it continuously for 2-3 hours to see if it has any itchy or load feeling on my ear. I had big expectation from sennheiser and did not expect such a poor quality. I doubt if the merchant HDMI king has given me a duplicate??Sennheiser CX300-B Earbuds (Black)Chaitu."
4,Great earbuds,"I've tried several brands and these are the best for the money. Very comfortable and the sound quality is excellent. The only reason I didn't give them 5 stars was that they are designed with a short cable length on one side which I find annoying. I can't imagine why they designed them like that. Other than that, I am very pleased with them and would recommend them."
4,"Comfortable, Good Quality, but the length!","I ordered this as my third pair of earbuds for my ipod. They were nicer than the previous two, including the original apple earbuds. They are very comfortable, and went in my ear better than the ""jbuds"". They fell out of my right ear more than my left, however.At one point, one of the covers came off, so I didn't use them for a while. I found it a few days later, but the point is that they aren't the most secure. Another thing is that the lengths of the wires are not even, as stated in the description. The length is like that for running, but the thing is, if you go running with them, you can't hear anything, such as traffic. Therefore, because the length makes everyday use incovenient, these earbuds wouldn't be my top recommendation for you.Good Luck browsing!"
3,Great sound for the price,"These headphones give you great sound for the price. The picture does not show that they have an asymmetrical yoke, that is that the right headphone connects close to the left and from there to the jack. I personally hate is design as the connecting wire is always too long and gets in the way."
2,Sennheisers?,These earbuds are not what they're cracked up to be. The sound on them is tinny and cheap. Attempted to contact the seller to rectify the situation but was ignored (I never received a response from them).I definitely would not recommend their purchase!
3,A year's life,I purchased this item in September 2008. Now in October 2009 the sound has dropped from one bud. That's not a very long life.Besides that I've liked them fine.
5,Sennheiser - satisfaction guaranteed,"It was on sale at Amazon, I ordered two of them. They arrived before the scheduled delivery date. Perfect earbuds, you cannot go wrong with it."
4,They honor their warranty,"I bought these about 2 yrs ago when the price was in the mid $50 range. After a yr of use, left channel became distorted. I threw them in a drawer and forgot about them until this past October...with 2 wks left on warranty. I shipped them back with my Amazon.com receipt. Today, I got a brand spanking new set. They honor their warranty, I still question the quality. That will take time to determine. So far, very pleased with both sennheiser and Amazon.com"
5,"Excellent earphones, but not for everyone","- Quality is very close to what I heard from the Bose $90 ear canal phones in Target- [...].Good For:-Listening to music in workplace, home etc, while working on comp-Times when you are sitting in one place-Times when you want good music in noisy environmentBad for:-Jogging/Gym: noise of cord rubbing against clothes disturbs, and they do fall out.Pros:-awesome bass-sturdy build-variable size buds-very good reproduction of faint sounds, across the range-very good noise cancellation - cant hear yourself typeCons:- noise cancellation - when you dont want it :-)- no case- Sound quality depends a lot on the fit, so you have to take time to fit it properly- The PET packaging takes 15 minutes of hard work to open :-) But then, if you dont get that packaging, beware - you have mostly ended up with a fake. These are the most faked earphones around."
2,Pros and Cons,"Pros:Extremely durable-Plastic covered lines are unbreakable by slight damages.Above Average Sound-Decent bass and average acoustics.Cons:Short Line: For anyone taller than 5'10"", this will be very uncomfortable when walking and exercising.Uncomfortable-Although it comes with 3 sets of ear plugs, the buds feels very uncomfortable in ears and often falls out."
3,Very modest upgrade to stock iPod headphones,"These headphones are OK. They are about the same quality if not a modest upgrade from the stock iPod headphones - they do a little better job of sound isolation and a lot better job with bass. However, they are missing mid and high frequencies. If you've ever tried a really good pair of headphones, you notice a sense of space which I believe is brought in by the mid and high frequencies - you do not get that feeling with these headphones - even on strong vocal music. So... for the money, you're getting what you pay for - I don't regret the purchase... but some day when I'm rolling in it I'll drop $150 for a good set."
3,"For sitting, not for walking","These headphones are perfect for taking the train or flying. You get good sound quality and decent sound isolation for the price. They are obviously compact - perfect for the traveler. The problem is I do a lot of walking and the way these things are designed, you hear every footstep in your head. In fact just bumping the cable is audible like tapping the side of your head.The bottom line is that if you aren't going to be sitting still when listening, do not buy."
1,Had I only known the cords were designed this way I would have never purchased,The only thing I hate in a set of headphones is when they are designed with the right ear plug being the main (long) wire and the left ear plug is a shorter wire that comes out from the main right wire. This is a design feature that is so incredibly uncomfortable to me that I had to throw these right into the junk drawer. I wish the manufacturer would have stated this. What a waste of money.
2,Worked OK while they lasted.,"Sound is better than most stock earbuds, and they are very good at shutting out external noise. Takes a bit of work to get them sized up & fitted correctly, and after that it still takes a while to get used to them. If you get them fitted in your ears just right, they have good frequency range for earbuds, but if you don't, the sound quality seriously suffers.Would have been happy enough with them but after about six months, sound from the left earbud failed. Got them pretty cheap so it's hardly worth it to try to RMA them, even if they are still under warranty. I have the HD580 and HD560 Sennheiser headphones and the sound on those is fantastic and they will last forever. A big reason why I bought these is because I thought I'd get the same sort of quality in these earbuds. It's disappointing to see Sennheiser put their name on an unreliable product."
3,Very Weak Bass,"I am not a fan of heavy bass at all. But I do like SOME bass. These ear buds aregreat for mids and highs but are very weak on the base. I'll keep thembut will be looking for something better. Overall, disappointed."
2,its not enough,"these IEMs barely provide enough value even for its $22 price tag. it is fairly comfortable and looks decent. it does not last too long especially in regards to wax tolerance. more importantly, there are other IEMs that beat this out on value. Meelectronic's M6 comes to mind,as well as couple others. check out head-fi.org for competitors around this price."
1,Not for outdoor use,"Bought these for running -- regret it now. They significantly amplify the ""whistle"" from wind. Cord bouncing also produces a very noticeable clicking noise. They also do not stay in my ear as well as my last ear buds, but that could be just me. Sound quality is good as long as you're relatively still and not outside. I absolutely hate the asymmetrical cord -- real PITA -- doesn't hang down naturally and pulls to one side. Regular ol' Y style cable seems to work best when active."
1,Busted ear bud,"I received the ear buds in working conditions. However, within two weeks of receipt, the right ear bud busted.On the other hand, while the ear buds did last, I enjoyed using them."
4,Mother of BASS!!,I've got to tell you... This is by far the low-cost best bass earphones that I have seen... Every aspect of the earphones is positive expect for the joint of the two sides (I don't know the technical name for that but you get it). It looks a bit flimsy and a tug could cut it. But I would rate it 5 for its performance and 4.5 overall...
3,Good sound but dislike construction,"These were purchased as a replacement for my aging CX-150 set. Although the sound is good I won't be using them because of the cord. Two cord ""features"" I dislike very much is the asymmetric design and the thin/flimsy cabling.The cord on my ""lesser"" CX-150 headphones is robust and has withheld being wound up for storage/travel very well, but the thinner ribbed cord on these CX-300 earbuds gets tangled too easily and the runners into each earbud is very thin/fragile. The description of this earbud did not mention asymmetric design and I failed by assuming Sennheiser would use equal length runners on all of their earbuds. For me the asymmetric design is an epic fail. These earbuds are destined for the reject heap in my office if returning them turns out to be a hassle.I despise these compared to my CX-150 buds.rich"
1,Two of the three pair I own have stopped working!,"Like the title says, I bought one pair of these for my wife and she liked them at first, until they stopped working out of one of the ears buds. So since she liked them I bought her a replacement pair thinking it was just a fluke and just ordered an extra pair for myself. My pair has now stopped working out of one of the ear buds and we are down to just one pair again. I ordered a different style and manufacturer this time and we will see how it turns out."
5,terrific noise-reducing earphones,"I love these earphones-they are comfortable inside my ear, stay in place, and reduce noise enough for me to keep the volume low on my ipod. I can even listen to music on the train without blasting my ear drums! Unfortunately, they keep creeping up in price, undoubtedly because more people are discovering how awesome they are."
4,Sennheiser = great sound for the price,"I actually bought 2 of these, each for around $20. The rubber piece around the chord of the left earbud broke due to my negligence on the first one, but it was still working (just uncomfortable to wear). I lost the second one while traveling. I now use the CX300 II, which is much better than this IMO.Pretty durable, extremely comfortable, and great earphones to study with as it plugs your ears. I love how the chord goes around the back of your neck, which adds tremendously to your comfort.Only bad thing is the sound (which is great for $20 headphones). I found the treble to be too high, and the bass to be too low (I am a fan of a flat equalizer BTW), but this is common to all earbuds around this price range. This is still 4x better than the earphones that come with iPods."
4,Great value,Only thing that could improve is making them more durable. This is my third pair and they are good for a year each until the cord deteriorates or they short out (but I take mine to the gym 5x a week so I'm very hard on them). Great value. They sound as good as $350 buds.
5,comfortable fit,I like the comfortable in ear fit as opposed the hard plastic jam into the ear type. And the sound is good.
3,The wiring on this set feels delicate and easy to damage.,"While sonically this product is okay, the wiring gives it a cheap appearance. The uneven length of wiring for the left and right earbuds are a problem for me. Somehow I always seem to accidentally yank one or the other earbuds out. I have never had this problem with earbuds with left and right wiring being of equal length."
2,Ehhhh.,"After the first day of using it, the right ear started buzzing every once in a while, after a couple weeks the buzzing does not go away."
2,Disappointing value from Sennheiser,"Sennheiser does not provide any type of protective case for the earbuds or for the 'extra' ear cushions. After cutting and slicing out this product with scissors from the typical nasty sealed plastic packaging, you're stuck with all of these very fragile parts, and with no place to save and protect them when not in use. The earbud wires are incredibly thin and fragile, and I don't believe they will survive everyday use. The only thing impressive about this product is the `Sennheiser' brand name; otherwise I've seen similar 'cheesy' products at the 'dollar' store for far less money!"
4,Yes they may be cheap knock-offs but they are cheap,"I have bought 3 pairs of the cheap knock-offs so far, two for me and one for my wife in a little over a year. My first pair crapped out after about 5 months but they still kind-of-worked so I used them until the right ear piece gave out completely (within 6 months of purchase). My wife uses her's much less then me and they are still working perfectly. My second pair is about 6 months old now and I use them about 10 hours a week at the gym and running. They take a beating and for the price I am happy with what I got. I would recommend them for the sound quality vs. price comparison. Yes they may break and that would suck but it is a good risk in my book."
2,Disappointed!,"So I bought these earbuds b/c I lost my Sony ones, and b/c of the positive reviews on here re: sound quality. I admit to having a critical ear, but these earbuds are sorely lacking in this area. They're heavy on midrange and harsh, tinny highs, and almost no bass - contrary to many of the reviews here. My Sony pair wasn't expensive, but had far more range in sound than these things, including bass. The Sennheiser's sound like you're listening through small soda cans, to simplify it.The only positive I can give em is that they fit in the ear well, and are far better than the ridiculous earbuds that come with the iPods in fitment.Overall, unless you have zero concern re: sound quality and are satisfied w/ the sound of your stock iPod buds, I strongly recommend looking elsewhere."
2,Muffled sound quality,"Too much bass response and the sound is muffled really bad. The price is good and the noise blocking is good but if you want really good sound quality, get something else."
1,"Lack Bass, sound is tinny","These earbuds sound very tinny and lack bass. The basic earbuds that came with my ipod sound so much fuller and have much more bass. I was looking for an upgrade in sound and these earbuds sound worse. If you like rich, full, bass sound, don't buy these."
4,Great Product - poor packageing,"TheseSennheiser CX300-B Earbuds (Black)just arrived on my door. I plugged them in to my Ipod Nano and was surprised by the great sound and noise cancellation (I had to switch to the small plugs). I have the stereo on and a small space heater next to me and I can't hear either with the earbuds in.The cord is long enough. the only thing was the packaging. It was one of those crappy plastic blister packs that you must have a razor blade to open.UPDATE: I have had these for 2 years now and I still love them. they have held up to the test of time. I travel alot and the noise isolation is outstanding. even when not listening to anything I keep this in just as ear plug on the airplane. I have tried other buds, when I though I lost these, but they all felt and sounded like Junk. Next time I loose them I am buying an exact replacement set."
1,Cord Length is ridiculous,"I never post reviews and I'm not incredibly critical when it comes to products this cheap....that said the cord length is so awful that these are going straight in the garbage. The left earpiece cord length is about 6 inches - that's fine. The right ear cord is about a foot and a quarter - no exaggeration. I saw that these were rated highly on amazon so decided to give it a shot. I really regret not reading the one star reviews - which I usually skip - because I'd have $25 buck still in my pocket. Now I'm going to have to go out and buy another freaking pair of cheap headphones when I could've gotten decent ones for $50. If your thinking about buying these and don't mind a insane amount of cord drooping from your right ear, by all means go ahead, sound quality and comfort are both ok, but for me I couldn't handle right earpiece cord long enough to hang myself with."
4,four months and loving it,"There are sellers selling fakes. So if you have a bad pair, check it's authenticity.I've been just using the stock ipod earbuds for years. I finally got frustrated after a few years. The rubber kept tearing off and fairly uncomfortable after a period of time.Sennheiser CX300s are great. The quality isn't great on my netbook, but it's because of the netbook audio specs. For someone who isn't an audiophile, these earbuds sound great with my ipod. Also the sound isolation is very helpful for a college student with 3 roommates and likes to study at home. I just turn on Pandora and they don't exist (if they make loud noises, then yes they are audible but not bothersome). I can't speak for durability. I keep them in a tin case so they aren't squished and whatnot. The wire noise isn't bothersome when you have volume up enough to not hear someone speaking to you -- which isn't too high.Very satisfied."
3,odd cord lengths,"I had some Sennheiser earbuds before, and they were awesome! Braided wire on the cords, nice fit, etc. I thought I was buying more of the same with these.These were not the earbuds I was looking for.First of all, what retard likes the unequal length cords to the earphones? They tend to hang the weight of the whole ensemble on one ear, with the other earbud an afterthought draped across your chest from one side to the other.Other than that, they are fine. They have ""normal"" cords, not the braided wire ones I was looking for.So, if you get a good price on these, and you are aware of the ""alternative"" cord length, rock out. Otherwise, move on."
3,Not the best..but ok for the price,i recieved it with a left side working worse than the right...a slight difference..but it is still there...ofcourse i didnt return it to pay a 6 $ extra shipping on a 16 $ earbud!although any of the low priced philips sounded even better..this one is...just ok..not really good base nor full sound nor real noise cancellation though!
