Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
3336,99001,146.7 030.0,19-5109CR-HY-252-2048-14670300-0000B-3,0,,34.95000,4.110000,,,,,3,,9,2,,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0.000000,,,34.95000,,,0.000000,4.110000,,,,,,,,,0,,,,,,,,
3336,99002,146.7 030.0,19-5109CR-HY-252-2048-14670300-0010A-3,10,27.63000,34.82000,4.290000,22.38300,94.80000,187.3969,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10.00000,27.63000,27.63000,34.82000,22.38000,545.0000,0.050000,4.290000,94.80000,,,,,,,,10,,,,,,,,
3336,99003,146.7 030.0,19-5109CR-HY-252-2048-14670300-0020A-7,20,25.84000,34.65500,4.470000,22.82600,95.70000,195.1751,,7,2,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20.00000,25.84000,25.84000,34.65500,22.82000,503.1000,0.100000,4.470000,95.70000,,,,,,,,20,,,,,,,,
3336,99004,146.7 030.0,19-5109CR-HY-252-2048-14670300-0025A-3,25,,34.47000,4.510000,,,,,3,,9,2,,9,,9,9,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,25.00000,,,34.47000,,,0.130000,4.510000,95.00000,,,,,,,,25,,,,,,,,
3336,99005,146.7 030.0,19-5109CR-HY-252-2048-14670300-0030A-7,30,24.05000,34.52400,4.400000,23.26800,91.30000,192.0357,,7,3,,3,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30.00000,24.05000,24.05000,34.52400,23.26000,461.3000,0.150000,4.400000,91.30000,,,,,,,,30,,,,,,,,
3336,99006,146.7 030.0,19-5109CR-HY-252-2048-14670300-0050A-3,50,,34.60000,3.600000,,,,,3,,9,2,,9,,9,9,,9,,9,1.070000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50.00000,,,34.60000,,,0.230000,3.600000,69.50000,,1.070000,,,,,,50,,,,,,,,
3336,99007,146.7 030.0,19-5109CR-HY-252-2048-14670300-0074A-3,74,16.20000,34.36000,2.640000,25.21300,47.30000,115.0028,,3,2,,2,,9,,,,,9,,9,1.630000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,74.00000,16.20000,16.19000,34.36000,25.21000,277.0000,0.310000,2.640000,47.30000,,1.630000,,,,,,74,,,,,,,,
3336,99008,146.7 030.0,19-5109CR-HY-252-2048-14670300-0075A-7,75,16.12000,34.38000,2.560000,25.24700,45.80000,111.5142,,7,2,,3,,9,,,,,9,,9,1.670000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75.00000,16.12000,16.11000,34.38000,25.24000,273.8000,0.310000,2.560000,45.80000,,1.670000,,,,,,75,,,,,,,,
3336,99009,146.7 030.0,19-5109CR-HY-252-2048-14670300-0098A-3,98,14.69000,34.82000,0.720000,25.90500,12.60000,31.34325,,3,2,,2,,9,,,,,9,,9,2.480000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,98.00000,14.69000,14.68000,34.82000,25.90000,211.8000,0.370000,0.720000,12.60000,,2.480000,,,,,,98,,,,,,,,
3336,99010,146.7 030.0,19-5109CR-HY-252-2048-14670300-0100A-7,100,14.59000,34.80400,0.710000,25.91400,12.40000,30.90766,,7,2,,3,,9,,,,,9,,9,2.490000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,100.0000,14.59000,14.58000,34.80400,25.91000,211.0000,0.370000,0.710000,12.40000,,2.490000,,,,,,100,,,,,,,,
3336,99011,146.7 030.0,19-5109CR-HY-252-2048-14670300-0125A-7,125,13.57000,34.66700,0.560000,26.02300,9.500000,24.37528,,7,2,,3,,9,,,,,9,,9,2.630000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,125.0000,13.57000,13.55000,34.66700,26.02000,201.2000,0.420000,0.560000,9.500000,,2.630000,,,,,,125,,,,,,,,
3336,99012,146.7 030.0,19-5109CR-HY-252-2048-14670300-0150A-3,150,12.92000,34.64000,0.420000,26.13500,7.100000,18.27946,,3,2,,2,,9,,,,,9,,9,2.770000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,150.0000,12.92000,12.90000,34.64000,26.13000,191.1000,0.470000,0.420000,7.100000,,2.770000,,,,,,151,,,,,,,,
3336,99013,146.7 030.0,19-5109CR-HY-252-2048-14670300-0196A-3,196,12.36000,34.85000,0.560000,26.40900,9.300000,24.36612,,3,2,,2,,9,,,,,9,,9,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,196.0000,12.36000,12.33000,34.85000,26.40000,166.3000,0.550000,0.560000,9.300000,,,,,,,,197,,,,,,,,
3336,99014,146.7 030.0,19-5109CR-HY-252-2048-14670300-0200A-7,200,12.30000,34.85300,0.540000,26.42300,9.000000,23.49558,,7,2,,3,,9,,,,,9,,9,2.780000,,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,200.0000,12.30000,12.27000,34.85300,26.42000,165.0000,0.560000,0.540000,9.000000,,2.780000,,,,,,201,,,,,,,,
